,0£¨0h£©,1£¨0.5h£©,2(1h),3(1.5h),4(2h),5(4h),6(6h),7(8h),8(10h),9(12h),10(16h),11(20h),12(24h£©,13(30h),14(36h)
D88,5.00E+03,2.78E+06,1.81E+07,2.92E+06,3.91E+08,1.62E+09,4.83E+10,6.96E+10,5.06E+10,2.93E+10,5.34E+10,2.06E+10,1.38E+10,2.60E+09,6.34E+08
D89,5.00E+03,4.32E+06,1.40E+07,1.23E+07,4.65E+07,4.51E+09,4.53E+10,2.01E+10,3.56E+10,3.54E+10,3.14E+10,5.62E+10,1.55E+10,1.60E+10,3.50E+09
D90,5.00E+03,1.44E+07,7.26E+06,3.84E+06,4.43E+07,5.53E+09,6.61E+10,3.74E+11,1.52E+11,2.30E+11,1.10E+11,7.40E+10,2.13E+09,5.75E+08,1.04E+08
D91,5.00E+03,1.26E+07,3.96E+06,1.86E+07,5.52E+07,1.78E+09,1.95E+10,2.65E+10,5.38E+10,5.23E+10,7.00E+10,5.44E+10,3.53E+10,1.80E+10,2.06E+10
D92,5.00E+03,1.31E+06,8.91E+05,2.31E+06,5.01E+06,3.04E+08,9.60E+09,2.14E+10,5.86E+10,6.38E+10,5.61E+10,5.28E+10,5.39E+10,3.47E+10,3.39E+10
D93,5.00E+03,2.84E+06,6.05E+06,6.46E+06,3.42E+07,2.73E+09,1.47E+10,2.66E+10,2.77E+10,2.95E+10,5.18E+10,3.67E+11,5.18E+10,4.93E+10,8.00E+09
D94,5.00E+03,1.53E+06,1.92E+06,2.78E+06,2.45E+06,4.24E+06,1.05E+07,1.53E+07,7.02E+06,8.91E+06,2.05E+07,8.72E+08,1.45E+07,8.80E+06,7.10E+06
D95,5.00E+03,2.06E+06,3.32E+06,6.08E+06,1.60E+07,1.51E+09,1.07E+10,2.88E+10,4.05E+10,6.61E+10,6.21E+10,4.65E+10,3.86E+10,3.68E+10,3.28E+10
D96,5.00E+03,3.20E+06,3.59E+06,5.17E+06,5.83E+06,1.44E+07,2.13E+08,4.52E+08,1.07E+09,1.12E+09,2.03E+09,5.61E+09,1.55E+10,1.01E+10,1.03E+10
D97,5.00E+03,1.21E+06,1.61E+06,2.14E+06,4.23E+06,4.31E+06,5.50E+06,5.73E+06,1.12E+07,1.14E+07,1.23E+07,2.01E+07,7.21E+08,1.80E+07,7.61E+06
D98,5.00E+03,1.25E+06,1.56E+06,2.10E+06,2.95E+06,3.68E+06,4.75E+06,5.26E+06,8.83E+06,8.95E+06,6.03E+10,9.68E+07,1.81E+07,1.14E+07,1.04E+07
D99,5.00E+03,1.11E+07,1.20E+07,4.43E+07,4.69E+07,1.62E+09,4.56E+10,2.96E+10,1.54E+10,1.47E+10,1.46E+10,1.17E+10,1.16E+10,8.46E+09,5.72E+09
D100,5.00E+03,5.81E+06,5.90E+06,1.12E+07,2.29E+07,2.82E+08,7.93E+09,2.28E+10,2.35E+10,1.50E+10,1.36E+10,7.09E+09,3.47E+09,1.01E+08,6.70E+07
