,0£¨0h£©,1£¨0.5h£©,2(1h),3(1.5h),4(2h),5(4h),6(6h),7(8h),8(10h),9(12h),10(16h),11(20h),12(24h£©,13(30h),14(36h)
P78,5.00E+03,2.23E+06,4.27E+06,4.75E+06,4.74E+06,1.25E+07,8.66E+07,1.43E+08,4.34E+07,8.74E+07,1.67E+09,1.22E+09,8.68E+08,1.88E+09,5.66E+09
P79,5.00E+03,4.00E+06,3.54E+06,2.95E+06,2.57E+06,1.41E+07,1.28E+08,2.77E+08,1.55E+08,2.64E+08,1.20E+09,2.86E+08,2.50E+08,1.03E+09,5.31E+09
P80,5.00E+03,7.31E+06,4.69E+06,2.33E+06,4.69E+06,6.80E+06,8.25E+07,9.94E+07,2.65E+07,5.84E+07,1.08E+09,1.02E+09,1.31E+09,8.25E+08,5.26E+08
P81,5.00E+03,1.19E+06,1.90E+06,1.23E+05,1.49E+06,3.93E+06,2.16E+07,1.29E+07,5.97E+07,1.38E+08,4.62E+08,2.46E+09,3.32E+09,1.56E+09,7.45E+08
P82,5.00E+03,1.79E+06,2.07E+06,2.13E+06,3.58E+06,3.85E+06,1.76E+07,1.22E+07,6.81E+07,6.89E+07,7.71E+08,2.03E+09,3.50E+09,9.47E+08,5.74E+07
P83,5.00E+03,1.56E+06,2.51E+06,2.18E+06,2.80E+06,3.30E+06,1.09E+07,5.32E+07,5.42E+07,1.14E+08,9.11E+08,1.77E+09,3.48E+09,2.09E+09,9.57E+08
P84,5.00E+03,2.64E+05,2.77E+05,3.41E+05,3.93E+05,1.60E+06,5.12E+06,9.88E+06,5.88E+07,8.72E+07,6.71E+08,3.29E+09,5.41E+09,2.58E+08,7.33E+07
P85,5.00E+03,1.10E+06,1.29E+06,1.08E+06,1.16E+06,3.75E+06,3.19E+07,2.49E+07,8.38E+07,9.11E+07,5.70E+08,3.41E+09,9.71E+09,6.66E+08,7.29E+07
P86,5.00E+03,1.54E+07,1.54E+07,5.06E+07,7.54E+07,6.94E+07,2.68E+08,1.77E+08,1.84E+08,2.63E+08,6.43E+08,9.45E+09,7.46E+09,7.38E+06,5.11E+05
P87,5.00E+03,7.18E+05,3.56E+05,9.59E+05,7.06E+05,3.89E+06,6.12E+07,5.74E+07,8.53E+07,3.15E+08,1.46E+09,4.64E+09,7.53E+09,3.91E+09,7.97E+08
P88,5.00E+03,4.81E+07,1.95E+07,5.74E+07,1.71E+07,6.11E+07,1.80E+08,3.53E+08,1.25E+08,1.85E+08,6.24E+08,1.24E+10,3.13E+09,8.47E+08,5.39E+08
P89,5.00E+03,3.81E+07,2.64E+07,2.30E+07,1.62E+07,3.04E+07,5.93E+07,3.95E+07,3.04E+07,4.35E+07,1.13E+08,2.04E+09,9.04E+09,6.31E+08,9.79E+05
P90,5.00E+03,1.06E+06,7.74E+05,4.84E+05,8.77E+05,1.37E+06,2.49E+07,1.45E+08,1.87E+08,1.00E+09,3.77E+09,7.55E+09,2.76E+09,1.70E+09,5.07E+08
P91,5.00E+03,1.22E+07,1.52E+07,1.83E+07,2.12E+07,2.73E+07,3.48E+07,4.62E+07,5.05E+07,1.30E+08,1.36E+08,4.77E+08,1.15E+09,2.07E+09,1.72E+08
P92,5.00E+03,1.71E+06,1.08E+07,1.15E+07,1.42E+07,1.47E+07,2.98E+07,8.23E+07,1.15E+08,1.75E+08,1.94E+08,6.36E+08,6.67E+08,2.54E+09,5.63E+09
P93,5.00E+03,1.27E+07,1.44E+07,1.66E+07,2.64E+07,3.07E+07,5.27E+07,5.84E+07,7.28E+07,8.18E+07,1.00E+08,6.58E+08,2.41E+09,4.42E+09,2.00E+09
P94,5.00E+03,2.80E+07,1.27E+07,1.70E+07,1.58E+07,2.27E+07,4.74E+07,3.64E+07,2.59E+07,3.45E+07,2.58E+07,4.22E+07,4.87E+07,1.99E+08,6.58E+08
P95,5.00E+03,1.24E+07,1.34E+07,1.44E+07,1.58E+07,2.55E+07,3.10E+07,3.53E+07,3.66E+07,3.71E+07,6.04E+07,6.48E+07,7.77E+07,2.20E+08,2.74E+08
P96,5.00E+03,9.68E+06,1.10E+07,1.30E+07,1.84E+07,3.42E+07,4.45E+07,4.55E+07,5.96E+07,1.10E+08,1.38E+08,3.89E+08,9.75E+08,2.73E+09,3.98E+09
P97,5.00E+03,7.09E+06,9.96E+06,1.28E+07,1.74E+07,3.42E+07,4.55E+07,7.21E+07,1.15E+08,1.96E+08,6.23E+08,3.75E+09,4.66E+09,5.93E+09,8.43E+09
P98,5.00E+03,8.68E+06,1.01E+07,1.07E+07,1.69E+07,2.00E+07,2.50E+07,2.53E+07,2.96E+07,3.34E+07,3.46E+07,3.29E+08,3.77E+09,2.74E+09,9.63E+08
P99,5.00E+03,9.43E+06,1.05E+07,1.07E+07,1.35E+07,1.81E+07,2.13E+07,2.24E+07,2.74E+07,3.16E+07,5.19E+07,6.53E+08,1.03E+09,1.66E+09,2.26E+09
P100,5.00E+03,1.09E+07,1.35E+07,1.45E+07,2.27E+07,3.11E+07,2.47E+08,3.08E+08,1.62E+08,2.40E+08,1.86E+08,7.09E+07,4.13E+06,7.20E+05,3.00E+05
